date,temp_dc_max,temp_dc_min,temp_dc_mean,precipitation_sum_mm,rain_sum_mm,snowfall_sum_cm,precipitation_hours,wind_speed_kmh_max,shortwave_radiation_mj_sum,et0_fao_evapotranspiration_mm,plz_2d,relative_humidity_%,dew_point_dc,pressure_sea_hpa,surface_pressure_hpa
2023-09-01 00:00:00+00:00,20.2405,13.540501,16.4405,9.400001,9.400001,0.0,18.0,20.140705,9.53,1.6598608,69,87.86147,14.305084,1015.45,982.9016
2023-09-02 00:00:00+00:00,24.6405,12.840501,19.175917,0.3,0.3,0.0,2.0,9.178235,19.41,3.4779203,69,79.26552,15.207168,1020.17084,987.7679
2023-09-03 00:00:00+00:00,23.8405,16.1405,19.442583,0.0,0.0,0.0,0.0,10.685391,17.85,3.3333998,69,76.70781,14.988418,1025.8667,993.3145
2023-09-04 00:00:00+00:00,25.790499,14.1905,19.6905,0.0,0.0,0.0,0.0,19.211996,20.25,4.5196157,69,61.573513,11.525917,1025.5375,993.0188
2023-09-05 00:00:00+00:00,26.7405,16.9905,20.93633,0.0,0.0,0.0,0.0,20.948164,20.1,4.7786403,69,58.953938,12.4384165,1021.46246,989.21
2023-09-06 00:00:00+00:00,26.9405,13.2405,20.550915,0.0,0.0,0.0,0.0,13.039754,20.11,4.3387303,69,60.92361,12.388417,1020.575,988.30646
2023-09-07 00:00:00+00:00,27.7405,15.540501,21.342585,0.0,0.0,0.0,0.0,13.363711,19.98,4.312774,69,63.023396,13.6571665,1019.6458,987.4924
2023-09-08 00:00:00+00:00,27.9905,14.340501,21.148832,0.0,0.0,0.0,0.0,8.905908,19.74,3.7823493,69,68.512505,14.6884165,1018.4875,986.3487
2023-09-09 00:00:00+00:00,28.1405,15.790501,21.665499,0.0,0.0,0.0,0.0,9.449572,19.4,3.7832942,69,68.80148,15.17175,1017.6584,985.6015
2023-09-10 00:00:00+00:00,28.540499,17.3405,22.288416,0.0,0.0,0.0,0.0,7.8954163,18.97,3.6676497,69,65.09429,15.100917,1017.93335,985.9343
2023-09-11 00:00:00+00:00,28.540499,17.3905,22.644669,0.0,0.0,0.0,0.0,6.792466,18.71,3.601325,69,62.09995,14.636333,1014.85004,982.98627
2023-09-12 00:00:00+00:00,28.2405,16.790499,21.969667,2.8,2.8,0.0,1.0,10.1887,16.22,3.2249002,69,69.89327,15.9655,1012.3667,980.50977
2023-09-13 00:00:00+00:00,21.4905,16.4905,18.419668,2.1,2.1,0.0,13.0,18.0,11.85,2.0451112,69,86.150024,15.967583,1016.64166,984.27313
2023-09-14 00:00:00+00:00,20.1405,11.4905,15.948834,0.0,0.0,0.0,0.0,12.904882,18.41,3.125673,69,70.694664,10.311334,1021.7209,988.9157
2023-09-15 00:00:00+00:00,24.1905,11.540501,17.763418,0.0,0.0,0.0,0.0,13.363711,16.26,3.2198439,69,69.28984,11.632167,1018.05835,985.5645
2023-09-16 00:00:00+00:00,26.790499,13.6405,20.42175,2.6,2.6,0.0,3.0,12.758432,16.55,3.2143238,69,69.41994,14.24675,1014.8333,982.73224
2023-09-17 00:00:00+00:00,27.1405,16.0905,21.394667,0.0,0.0,0.0,0.0,11.165805,15.17,3.1852784,69,72.66608,15.823833,1014.43335,982.451
2023-09-18 00:00:00+00:00,21.4905,16.540499,19.08425,5.2999997,5.2999997,0.0,8.0,20.892412,7.66,1.6230259,69,83.51215,16.161333,1010.5916,978.48773
2023-09-19 00:00:00+00:00,20.1405,14.090501,16.744667,0.6,0.6,0.0,6.0,21.659916,12.74,2.4303856,69,78.12783,12.49675,1014.5208,982.03656
