date,temp_dc_max,temp_dc_min,temp_dc_mean,precipitation_sum_mm,rain_sum_mm,snowfall_sum_cm,precipitation_hours,wind_speed_kmh_max,shortwave_radiation_mj_sum,et0_fao_evapotranspiration_mm,plz_2d,relative_humidity_%,dew_point_dc,pressure_sea_hpa,surface_pressure_hpa
2023-09-01 00:00:00+00:00,20.813,10.863,15.656751,0.1,0.1,0.0,1.0,15.111424,15.22,2.6747763,15,74.219154,10.704666,1013.91254,1008.53174
2023-09-02 00:00:00+00:00,21.413,11.563,16.748415,0.0,0.0,0.0,0.0,8.557102,14.13,2.5301306,15,75.72404,12.090083,1019.89166,1014.4995
2023-09-03 00:00:00+00:00,20.213001,15.162999,17.229666,0.0,0.0,0.0,0.0,15.856354,13.22,2.5643718,15,72.07871,11.885917,1025.5625,1020.14984
2023-09-04 00:00:00+00:00,24.263,12.412999,18.248417,0.0,0.0,0.0,0.0,8.913181,18.75,3.2476351,15,72.649475,12.879666,1028.3083,1022.8992
2023-09-05 00:00:00+00:00,26.163,15.363,20.333834,0.0,0.0,0.0,0.0,12.43434,18.36,3.6869497,15,68.98475,14.015083,1024.5583,1019.2072
2023-09-06 00:00:00+00:00,27.713001,14.212999,20.706753,0.0,0.0,0.0,0.0,10.661107,19.06,3.7422779,15,68.52225,14.0255,1023.16254,1017.825
2023-09-07 00:00:00+00:00,27.663,15.412999,21.279665,0.0,0.0,0.0,0.0,14.799459,18.92,4.2210283,15,64.36649,13.596333,1024.0499,1018.71857
2023-09-08 00:00:00+00:00,27.913,15.863,21.550499,0.0,0.0,0.0,0.0,11.966953,18.79,4.016573,15,65.485954,14.248416,1021.3042,1015.9919
2023-09-09 00:00:00+00:00,29.113,15.662999,21.94425,0.0,0.0,0.0,0.0,13.089354,18.62,4.1105595,15,63.225876,13.715083,1018.3333,1013.0433
2023-09-10 00:00:00+00:00,29.613,14.313,21.896334,0.0,0.0,0.0,0.0,9.726665,18.27,3.799687,15,64.14668,13.787999,1017.125,1011.8399
2023-09-11 00:00:00+00:00,29.463001,14.412999,22.32342,0.0,0.0,0.0,0.0,10.799999,18.01,3.602991,15,61.67575,13.881749,1014.25415,1008.99194
2023-09-12 00:00:00+00:00,29.413,15.962999,22.427584,0.6,0.6,0.0,1.0,11.200571,16.42,3.5396934,15,65.83869,15.2005005,1012.17084,1006.9214
2023-09-13 00:00:00+00:00,23.863,17.163,19.96925,0.6,0.6,0.0,4.0,22.751316,13.59,2.6387148,15,80.9975,16.4505,1012.69165,1007.39667
2023-09-14 00:00:00+00:00,19.963001,12.212999,16.358835,0.70000005,0.70000005,0.0,3.0,14.277983,15.71,2.7297585,15,71.21199,10.756749,1021.7375,1016.3288
2023-09-15 00:00:00+00:00,22.363,11.462999,16.940084,0.0,0.0,0.0,0.0,15.937878,14.82,3.053029,15,69.92098,10.977582,1022.22504,1016.8237
2023-09-16 00:00:00+00:00,25.013,13.162999,18.717167,0.0,0.0,0.0,0.0,14.84318,16.56,3.3513896,15,67.36032,12.327583,1017.69165,1012.347
2023-09-17 00:00:00+00:00,26.513,13.113,19.817167,0.0,0.0,0.0,0.0,10.990322,15.67,3.0255647,15,74.84899,14.673416,1015.5291,1010.2155
