date,temp_dc_max,temp_dc_min,temp_dc_mean,precipitation_sum_mm,rain_sum_mm,snowfall_sum_cm,precipitation_hours,wind_speed_kmh_max,shortwave_radiation_mj_sum,et0_fao_evapotranspiration_mm,relative_humidity_%,dew_point_dc,pressure_sea_hpa,surface_pressure_hpa,plz_2d
01-10-2023,22.694,9.394,15.518306,0.0,0.0,0.0,0.0,8.223775,14.803333,2.4461634,75.64905,10.709278,1026.1542,997.6047,70
02-10-2023,26.277334,10.894,17.415527,0.0,0.0,0.0,0.0,9.668952,14.686667,2.6171124,74.288734,12.040528,1022.4597,994.1934,70
03-10-2023,26.394,13.677334,19.198168,4.0333333,4.0333333,0.0,3.6666667,25.435633,11.723332,3.2729957,66.301094,12.300944,1019.3055,991.2993,70
04-10-2023,18.210667,8.644,13.353027,0.0,0.0,0.0,0.0,10.898295,13.246667,2.1134815,77.81876,9.191222,1028.9985,1000.16187,70
05-10-2023,16.810667,6.8106666,11.496778,0.0,0.0,0.0,0.0,10.481271,8.166667,1.4122139,80.70124,8.014833,1027.525,998.5447,70
06-10-2023,19.760668,5.677334,11.835667,0.0,0.0,0.0,0.0,8.504512,13.453334,2.0891268,79.53132,7.988444,1027.1805,998.2391,70
07-10-2023,20.210667,5.3273335,12.616916,0.0,0.0,0.0,0.0,8.50887,8.856667,1.6925163,71.39803,7.01275,1026.0542,997.22174,70
08-10-2023,23.194,10.227334,16.223166,0.0,0.0,0.0,0.0,10.717113,12.286667,2.4325464,62.53743,8.789139,1025.7222,997.2554,70
09-10-2023,23.994001,10.910666,16.327333,0.0,0.0,0.0,0.0,11.587955,9.943333,2.1066935,65.96508,9.534278,1022.42505,994.0595,70
10-10-2023,23.027334,8.560666,15.615529,0.0,0.0,0.0,0.0,8.670058,11.7300005,2.0299733,72.47805,10.223861,1021.9986,993.5742,70
11-10-2023,25.760666,11.544,17.445389,0.0,0.0,0.0,0.0,12.786438,12.95,2.7965505,63.268574,9.936361,1019.03467,990.86743,70
12-10-2023,23.877335,16.110666,18.438446,0.0,0.0,0.0,0.0,14.11557,5.556667,1.9193567,63.965244,11.37386,1017.175,989.1611,70
13-10-2023,27.110666,14.944,20.101639,0.0,0.0,0.0,0.0,17.614765,12.009999,3.649999,50.348602,8.933583,1014.3555,986.5704,70
14-10-2023,21.560667,10.344,16.116915,14.266666,14.266666,0.0,11.666667,24.291372,4.3333335,1.9383922,71.233986,10.5384445,1013.382,985.24835,70
15-10-2023,11.510667,4.660667,8.621083,1.9,1.9,0.0,7.0,19.437904,10.263333,1.5101956,73.83465,4.004417,1021.7708,992.6663,70
16-10-2023,12.160667,0.36066666,6.3315005,0.0,0.0,0.0,0.0,10.205929,12.273334,1.6764503,74.40335,1.6731666,1022.56665,993.2006,70
17-10-2023,11.610667,2.2273333,6.509278,0.0,0.0,0.0,0.0,12.616015,7.6966667,1.1313196,77.86996,2.8474722,1018.2666,989.0432,70
