date,temp_dc_max,temp_dc_min,temp_dc_mean,precipitation_sum_mm,shortwave_radiation_mj_sum,relative_humidity_%,surface_pressure_hpa,plz_2d
2023-04-01,11.591,4.741,9.09725,3.5000002,5.76,84.87885,989.1801,38
2023-04-02,7.041,1.4909999,4.113917,0.0,10.0,70.30778,1010.22046,38
2023-04-03,6.041,-2.109,2.3868334,0.0,13.5,63.168903,1021.4382,38
2023-04-04,5.991,-2.859,1.9805833,0.0,15.69,66.459435,1018.57715,38
2023-04-05,7.841,-3.2089999,2.8326666,0.0,15.45,64.375145,1013.2413,38
2023-04-06,12.290999,-2.359,4.941,0.0,19.57,61.03677,1008.7055,38
2023-04-07,11.891,0.791,6.0868335,0.0,18.78,60.757694,1008.4873,38
2023-04-08,8.391,3.941,5.838917,0.4,5.1,88.34554,1014.3352,38
2023-04-09,11.891,0.64100003,6.6159997,0.0,14.01,81.377075,1016.32153,38
2023-04-10,16.491,3.7910001,10.380584,0.0,18.41,66.09577,1010.14545,38
2023-04-11,12.740999,2.7410002,8.940999,5.8999996,16.15,72.42967,1000.41235,38
2023-04-12,10.091,1.841,6.8285007,5.2000003,4.87,81.385704,993.46387,38
2023-04-13,12.790999,3.891,7.678501,2.1999998,17.47,77.22344,993.13666,38
2023-04-14,12.691,2.9910002,7.580584,0.5,14.36,77.31095,999.30194,38
2023-04-15,11.290999,5.341,7.8493333,8.2,3.79,91.295006,999.6096,38
2023-04-16,10.891,6.941,8.688918,5.399999,4.87,90.978004,1009.4847,38
2023-04-17,13.891,4.3910003,8.845167,0.0,17.72,75.05106,1015.00726,38
2023-04-18,12.141,5.6410003,8.574334,0.0,12.21,76.64554,1017.96295,38
2023-04-19,12.641,3.2910001,7.955584,0.4,20.62,56.991455,1015.84033,38
2023-04-20,10.341,4.341,7.153501,0.8000001,11.71,78.96002,1009.9471,38
2023-04-21,18.841,7.691,12.932668,0.0,22.57,67.2691,1005.8708,38
2023-04-22,21.691,8.641,15.1659975,0.4,19.6,62.48666,999.7039,38
2023-04-23,17.591,10.891,13.918083,2.5,16.29,73.29104,996.404,38
2023-04-24,13.191,7.1410003,10.711833,1.2,15.56,74.68049,993.21783,38
2023-04-25,9.191,4.241,7.2660007,1.0,14.52,66.74964,1000.2483,38
2023-04-26,8.790999,1.691,5.4597497,0.3,13.73,70.28428,1007.199,38
2023-04-27,10.441,1.6409999,6.4930835,0.0,16.66,69.20616,1010.27637,38
2023-04-28,15.141,4.691,9.520166,3.1999998,9.52,72.2121,1003.57446,38
2023-04-29,14.141,7.941,11.636834,2.8,12.62,78.172455,1005.0345,38
2023-04-30,13.290999,2.2410002,8.0535,0.0,24.83,72.09632,1013.08887,38
2023-05-01,18.241,4.291,11.170166,0.0,20.34,65.66335,1006.39996,38
2023-05-02,11.540999,7.941,9.603499,1.5000001,12.98,73.29463,1011.4195,38
2023-05-03,12.941,1.291,7.7555833,0.0,20.49,71.215004,1018.1788,38
2023-05-04,16.890999,3.441,10.291,0.0,19.02,70.394226,1012.9589,38
2023-05-05,19.541,7.6410003,13.553498,7.9,17.52,68.76483,1007.0975,38
2023-05-06,16.640999,9.591,12.932667,1.0000001,16.52,83.01975,1007.50586,38
2023-05-07,14.091,7.691,10.80975,0.7,14.54,76.13231,1011.29,38
2023-05-08,17.541,6.291,11.988915,0.0,25.32,68.567726,1013.3851,38
2023-05-09,20.191,8.490999,14.276416,0.0,24.51,60.035385,1005.947,38
2023-05-10,15.841,10.490999,13.070167,4.8,7.16,79.69445,1000.0949,38
2023-05-11,17.491,11.040999,13.19933,5.1999993,9.22,92.237305,1004.1745,38
2023-05-12,21.041,7.6410003,15.057667,0.0,24.03,66.422226,1007.60394,38
2023-05-13,21.140999,8.740999,14.855583,0.0,24.93,61.44873,1010.20416,38
2023-05-14,19.791,8.040999,14.363915,0.2,24.45,67.698746,1007.5303,38
2023-05-15,19.941,7.241,14.190997,0.5,22.29,68.35526,1001.1802,38
2023-05-16,13.841,8.240999,10.963917,0.1,19.68,65.96991,1006.49506,38
2023-05-17,12.691,6.541,9.511834,0.1,19.47,66.43167,1013.7211,38
2023-05-18,14.391,3.0410001,9.438915,0.0,19.68,66.531075,1017.907,38
2023-05-19,17.541,7.191,12.632667,0.0,20.64,63.83139,1015.9988,38
2023-05-20,17.241,9.490999,13.734748,0.0,12.23,71.3509,1013.3623,38
2023-05-21,25.491,12.341,18.230581,0.3,21.59,73.29194,1007.42535,38
2023-05-22,26.140999,15.240999,19.591,4.5,23.26,68.10065,1004.41595,38
2023-05-23,15.591,8.941,13.511833,1.6000001,9.39,81.71392,1005.8973,38
2023-05-24,13.540999,6.091,10.111833,1.4000001,10.73,78.43272,1011.85004,38
2023-05-25,17.191,5.791,12.203499,0.1,20.56,76.46105,1015.74023,38
2023-05-26,17.041,6.491,12.274333,0.0,28.29,71.0088,1018.13495,38
2023-05-27,19.390999,5.3910003,13.378498,0.0,27.23,68.6464,1016.7051,38
2023-05-28,21.991,6.741,15.440998,0.0,27.69,63.550903,1010.60254,38
2023-05-29,19.441,9.841,14.722249,0.0,25.96,60.544346,1012.5886,38
2023-05-30,19.640999,7.241,13.974332,0.0,22.08,66.53507,1015.04816,38
2023-05-31,22.890999,8.391,16.630583,0.0,28.48,63.241146,1014.374,38
2023-06-01,17.341,9.141,13.220164,0.0,24.91,73.189064,1010.1884,38
2023-06-02,18.091,8.141,13.51183,0.1,18.64,62.14416,1010.36346,38
2023-06-03,19.140999,7.341,13.843082,0.0,27.62,47.82779,1012.771,38
2023-06-04,21.741,6.191,15.157666,0.0,29.26,55.04166,1011.7767,38
2023-06-05,23.941,7.991,17.441002,0.0,28.95,56.374554,1010.75885,38
2023-06-06,22.341,11.841,18.084753,0.0,18.47,59.944016,1009.33966,38
2023-06-07,24.640999,15.091,19.688913,2.8,22.2,66.92404,1009.17633,38
